
---------- Begin Simulation Statistics ----------
simSeconds                                   0.127380                       # Number of seconds simulated (Second)
simTicks                                 127379654500                       # Number of ticks simulated (Tick)
finalTick                                127379654500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   3785.06                       # Real time elapsed on the host (Second)
hostTickRate                                 33653275                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4411688                       # Number of bytes of host memory used (Byte)
simInsts                                    825385269                       # Number of instructions simulated (Count)
simOps                                      918475537                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   218064                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     242658                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        254759313                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.308655                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               3.239867                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       925448141                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      209                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      923936161                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    754                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              6972812                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           3906527                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  99                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           254644518                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.628337                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.084909                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   8645280      3.40%      3.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  17975641      7.06%     10.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  79295116     31.14%     41.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  41987678     16.49%     58.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   9919389      3.90%     61.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  34301504     13.47%     75.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  38870784     15.26%     90.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  12195534      4.79%     95.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  11453592      4.50%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             254644518                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                11041611     24.75%     24.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                 785221      1.76%     26.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     26.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     26.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     26.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     26.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                 2377      0.01%     26.51% # attempts to use FU when none available (Count)
