
---------- Begin Simulation Statistics ----------
simSeconds                                   0.149047                       # Number of seconds simulated (Second)
simTicks                                 149046899500                       # Number of ticks simulated (Tick)
finalTick                                149046899500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   3575.86                       # Real time elapsed on the host (Second)
hostTickRate                                 41681438                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4465244                       # Number of bytes of host memory used (Byte)
simInsts                                    403468019                       # Number of instructions simulated (Count)
simOps                                      422468268                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   112831                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     118145                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        298093802                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.738651                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.353819                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       694730042                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      478                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      613471809                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 594299                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            272262251                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         230496796                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 125                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           297938865                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.059053                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.069100                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  97773963     32.82%     32.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  47101028     15.81%     48.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  44220183     14.84%     63.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  37126790     12.46%     75.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  30489255     10.23%     86.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  17743407      5.96%     92.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  13069980      4.39%     96.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   5857962      1.97%     98.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   4556297      1.53%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             297938865                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 3079330     40.76%     40.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      3      0.00%     40.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     40.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     40.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     40.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     40.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     40.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     40.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     40.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    1      0.00%     40.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     40.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     40.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     40.76% # attempts to use FU when none available (Count)
