
---------- Begin Simulation Statistics ----------
simSeconds                                   0.172674                       # Number of seconds simulated (Second)
simTicks                                 172674298500                       # Number of ticks simulated (Tick)
finalTick                                172674298500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   5289.13                       # Real time elapsed on the host (Second)
hostTickRate                                 32646983                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4408356                       # Number of bytes of host memory used (Byte)
simInsts                                    403468019                       # Number of instructions simulated (Count)
simOps                                      422468268                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    76282                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      79875                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        345348599                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.855745                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.168573                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       735050278                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      529                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      598845317                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued               16546718                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            312582538                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         332329329                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 176                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           345188711                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.734835                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.335140                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 110381223     31.98%     31.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  34424294      9.97%     41.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  36728559     10.64%     52.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 163654635     47.41%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 3                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             345188711                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    1    100.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%    100.00% # attempts to use FU when none available (Count)
