
---------- Begin Simulation Statistics ----------
simSeconds                                   0.163450                       # Number of seconds simulated (Second)
simTicks                                 163450499500                       # Number of ticks simulated (Tick)
finalTick                                163450499500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   5285.88                       # Real time elapsed on the host (Second)
hostTickRate                                 30922114                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4408324                       # Number of bytes of host memory used (Byte)
simInsts                                    403468019                       # Number of instructions simulated (Count)
simOps                                      422468268                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    76329                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      79924                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        326901001                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.810033                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.234518                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       717116222                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      528                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      628319442                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                3209435                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            294648481                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         258749285                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 175                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           326740530                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.922992                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.857612                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 115883111     35.47%     35.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  46478300     14.22%     49.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  44193618     13.53%     63.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  37557904     11.49%     74.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  32357791      9.90%     84.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  50269806     15.39%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 5                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             326740530                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    1      0.00%      0.00% # attempts to use FU when none available (Count)
