
---------- Begin Simulation Statistics ----------
simSeconds                                   0.011569                       # Number of seconds simulated (Second)
simTicks                                  11569017500                       # Number of ticks simulated (Tick)
finalTick                                 11569017500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    259.04                       # Real time elapsed on the host (Second)
hostTickRate                                 44661769                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4451900                       # Number of bytes of host memory used (Byte)
simInsts                                     45560908                       # Number of instructions simulated (Count)
simOps                                       50211750                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   175886                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     193841                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         23138039                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.507818                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.969211                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        63958979                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      286                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       59575620                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 111543                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             13747514                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          10507610                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 123                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            22963034                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.594414                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.259923                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   5881645     25.61%     25.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2927821     12.75%     38.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   3203318     13.95%     52.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3319227     14.45%     66.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3248926     14.15%     80.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1253412      5.46%     86.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1402599      6.11%     92.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1203564      5.24%     97.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    522522      2.28%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              22963034                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  391258     32.04%     32.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                 163767     13.41%     45.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                  169522     13.88%     59.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     59.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     59.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     59.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     59.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     59.33% # attempts to use FU when none available (Count)
