
---------- Begin Simulation Statistics ----------
simSeconds                                   0.118874                       # Number of seconds simulated (Second)
simTicks                                 118874015500                       # Number of ticks simulated (Tick)
finalTick                                118874015500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   4584.36                       # Real time elapsed on the host (Second)
hostTickRate                                 25930334                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4427396                       # Number of bytes of host memory used (Byte)
simInsts                                    455641843                       # Number of instructions simulated (Count)
simOps                                      502510844                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    99390                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     109614                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        237748035                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.521767                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.916563                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       546924264                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      494                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      517387834                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                3873425                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             44413913                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          86527824                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 134                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           237517027                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.178319                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.177446                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  40994260     17.26%     17.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  24260965     10.21%     27.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  23658537      9.96%     37.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 148603265     62.57%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 3                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             237517027                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  11129      0.02%      0.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult              9801622     20.60%     20.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc           6227947     13.09%     33.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv               1824625      3.84%     37.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc             14680953     30.86%     68.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt             15029969     31.59%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%    100.00% # attempts to use FU when none available (Count)
