
---------- Begin Simulation Statistics ----------
simSeconds                                   0.106723                       # Number of seconds simulated (Second)
simTicks                                 106722553500                       # Number of ticks simulated (Tick)
finalTick                                106722553500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   4374.88                       # Real time elapsed on the host (Second)
hostTickRate                                 24394419                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4426564                       # Number of bytes of host memory used (Byte)
simInsts                                    455641753                       # Number of instructions simulated (Count)
simOps                                      502510749                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   104150                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     114863                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        213445111                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.468432                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.134783                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       534278715                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      481                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      523055274                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 423726                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             31768446                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          46058006                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 121                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           213208147                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.453261                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.077838                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  50907292     23.88%     23.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  34452446     16.16%     40.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  36874224     17.29%     57.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  23807379     11.17%     68.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  22366133     10.49%     78.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  14836327      6.96%     85.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  29964346     14.05%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 6                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             213208147                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  42849      0.08%      0.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                189928      0.34%      0.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                  7658      0.01%      0.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                 45023      0.08%      0.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult             12171807     21.56%     22.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc           6085809     10.78%     32.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv               1944863      3.44%     36.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc             16097924     28.51%     64.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt             16010630     28.35%     93.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      3      0.00%     93.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     93.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                 293576      0.52%     93.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     93.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                 154346      0.27%     93.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                 23649      0.04%     93.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     93.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     93.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     93.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     93.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     93.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     93.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     93.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     93.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                14      0.00%     93.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp            154769      0.27%     94.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     94.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     94.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     94.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult             7738      0.01%     94.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc         14840      0.03%     94.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     94.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     94.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     94.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     94.30% # attempts to use FU when none available (Count)
