
---------- Begin Simulation Statistics ----------
simSeconds                                   4.601241                       # Number of seconds simulated (Second)
simTicks                                 4601240869500                       # Number of ticks simulated (Tick)
finalTick                                4601240869500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  63502.31                       # Real time elapsed on the host (Second)
hostTickRate                                 72457848                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4634268                       # Number of bytes of host memory used (Byte)
simInsts                                  15292432845                       # Number of instructions simulated (Count)
simOps                                    16466223957                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   240817                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     259301                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                       9202481751                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.601725                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.661888                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                     20545457037                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   321559                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                    19022746380                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                8590663                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined           4079554638                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        2909602588                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                5447                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          9140826140                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.081075                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.159836                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                3297430235     36.07%     36.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                1179499125     12.90%     48.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                1194718106     13.07%     62.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                1172843220     12.83%     74.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                 932088035     10.20%     85.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                 534840208      5.85%     90.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                 443122264      4.85%     95.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                 216284957      2.37%     98.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                 169999990      1.86%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            9140826140                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu               143563316     75.80%     75.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                1077813      0.57%     76.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     76.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     76.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     76.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     76.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     76.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     76.37% # attempts to use FU when none available (Count)
