
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000162                       # Number of seconds simulated (Second)
simTicks                                    161747500                       # Number of ticks simulated (Tick)
finalTick                                   161747500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.81                       # Real time elapsed on the host (Second)
hostTickRate                                200658866                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4383312                       # Number of bytes of host memory used (Byte)
simInsts                                       131609                       # Number of instructions simulated (Count)
simOps                                         152569                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   163254                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     189253                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                           323499                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.446561                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.408737                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          231209                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      210                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         216717                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    594                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                78849                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             59537                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 110                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              214441                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.010614                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.848624                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    146274     68.21%     68.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     17615      8.21%     76.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     13576      6.33%     82.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                      9855      4.60%     87.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     10303      4.80%     92.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      6645      3.10%     95.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      5364      2.50%     97.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      2708      1.26%     99.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      2101      0.98%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                214441                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    1080     14.95%     14.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     14.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     14.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     14.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     14.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     14.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     14.95% # attempts to use FU when none available (Count)
