
---------- Begin Simulation Statistics ----------
simSeconds                                   0.245948                       # Number of seconds simulated (Second)
simTicks                                 245948243500                       # Number of ticks simulated (Tick)
finalTick                                245948243500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   5528.20                       # Real time elapsed on the host (Second)
hostTickRate                                 44489784                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4651608                       # Number of bytes of host memory used (Byte)
simInsts                                    943657073                       # Number of instructions simulated (Count)
simOps                                     1088927197                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   170699                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     196977                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        491896490                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.518598                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.928275                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1159574832                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     6759                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1147319753                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1322697                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             70654393                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          47183358                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                5556                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           491768876                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.333047                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.240135                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 138228496     28.11%     28.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  87464161     17.79%     45.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  71555459     14.55%     60.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  53338525     10.85%     71.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  46754694      9.51%     80.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  38676296      7.86%     88.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  26485202      5.39%     94.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  16710713      3.40%     97.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  12555330      2.55%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             491768876                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 6694308     24.34%     24.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                1763983      6.41%     30.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     30.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     30.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     30.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     30.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     30.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     30.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     30.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    3      0.00%     30.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     30.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     30.75% # attempts to use FU when none available (Count)
