
---------- Begin Simulation Statistics ----------
simSeconds                                   0.015297                       # Number of seconds simulated (Second)
simTicks                                  15296552500                       # Number of ticks simulated (Tick)
finalTick                                 15296552500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    522.08                       # Real time elapsed on the host (Second)
hostTickRate                                 29299188                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4387132                       # Number of bytes of host memory used (Byte)
simInsts                                     38868967                       # Number of instructions simulated (Count)
simOps                                       42708086                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    74450                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      81804                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         30593109                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.785545                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.273001                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        42803589                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      310                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       53979215                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    765                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                95812                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             74211                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  81                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            30482800                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.770809                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.131407                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  13479927     44.22%     44.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   4875078     15.99%     60.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2418385      7.93%     68.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1933313      6.34%     74.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3947693     12.95%     87.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1886323      6.19%     93.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    939169      3.08%     96.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    413269      1.36%     98.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    589643      1.93%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              30482800                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  305501     10.77%     10.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     10.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     10.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     10.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     10.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     10.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     10.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     10.77% # attempts to use FU when none available (Count)
